Tweet,Date,Retweet,Favorite,Tweet Source,Tweet Language,User Name,User Language
"RT @cartunelo: S.O.S,#civsocial,PLEASE HELP dialysis patients in Ivory Coast, http://on.fb.me/dR8zWn, Pleas… (cont) http://deck.ly/~WGGkj",2011-04-03 14:49:05 +0000 Sun,1,0,TweetDeck,en,obamo,en
"S.O.S, #civsocial, #CICR, #OMS,#MSF,Cote d Ivoire S.O.S sauvons les insuffisants renaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 14:50:19 +0000 Sun,2,0,Twitter Web Client,fr,manasse.dehe,fr
"S.O.S,#civsocial,PLEASE HELP dialysis patients in Cote d Ivoire, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010,#cicr,#msf,#oms",2011-04-03 15:01:15 +0000 Sun,0,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial, S.O.S, #CICR, #OMS,#MSF, Cote d Ivoire sauvons les insuffisants renaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 15:08:29 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"@eliaws S.O.S,#civsocial,PLEASE HELP dialysis patients in Cote d Ivoire, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010,#cicr,#msf",2011-04-03 15:12:47 +0000 Sun,3,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial, S.O.S, #CICR, #OMS,#MSF,Abidjan, HMA, sauvons les insuffisants renaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 15:22:48 +0000 Sun,1,0,Twitter Web Client,fr,manasse.dehe,fr
"RT @lamar70: RT @cartunelo: @eliaws SOS,#civsocial,HELP dialysis patients, http://on.fb.me/dR8zWn,Please Spread the word.#civ2010,#cicr,#msf",2011-04-03 15:33:56 +0000 Sun,0,0,DestroyTwitter,en,SergeMBRA ZebuGNT,fr
"@MSF_USA S.O.S,#civsocial,PLEASE HELP dialysis patients in Cote d Ivoire, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010,#cicr,#msf",2011-04-03 15:35:29 +0000 Sun,0,0,Twitter Web Client,en,manasse.dehe,fr
"@MSF_USA S.O.S,#civsocial,PLEASE HELP dialysis patients in Cote d Ivoire, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010,#msf",2011-04-03 15:36:02 +0000 Sun,0,0,Twitter Web Client,en,manasse.dehe,fr
"#civ2010,#civsocial, S.O.S, #CICR, #OMS,#MSF,Abidjan, sauvons les insuffisants renaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 16:37:02 +0000 Sun,3,0,Twitter Web Client,fr,manasse.dehe,fr
"‎#civ2010,#civsocial, S.O.S, #CICR, #OMS,#MSF,Abidjan, sauvons les insuffisants renaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 16:42:54 +0000 Sun,3,0,Twitter Web Client,fr,marlene aymone,en
"S.O.S,#civsocial,PLEASE HELP dialysis patients in #ABIDJAN, http://on.fb.me/dR8zWn, Please Spread the word.#civ2010,#cicr,#msf",2011-04-03 16:45:01 +0000 Sun,3,1,Twitter Web Client,en,manasse.dehe,fr
"#CICR,#civ2010,#civsocial, S.O.S, #OMS,#MSF,Abidjan, sauvons les insuffisants renaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 16:57:28 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"S.O.S,#civsocial,PLEASE HELP dialysis patients in #ABIDJAN, http://on.fb.me/dR8zWn, Please Spread the message.#civ2010,#cicr,#msf",2011-04-03 17:05:41 +0000 Sun,1,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial,#civ2010 Si des personnes viennent vous piller pour prendre vos voitures et vos biens: 48_29_50_01/04_15_12_18_/57 54 95 40/",2011-04-03 17:17:59 +0000 Sun,2,0,Twitter Web Client,fr,manasse.dehe,fr
"#civsocial, A tous ceux vivants au Mali veuillez contacter Patrick Tiess (+223) 78 16 90 25 pour soutenir les victimes de guerre en #civ2010",2011-04-03 17:29:37 +0000 Sun,2,0,Twitter Web Client,fr,manasse.dehe,fr
"RT @cartunelo: #civsocial, A tous ceux vivants au Mali veuillez contacter Patrick Tiess (+223) 78 16 90 25 pou… (cont) http://deck.ly/~3J4wt",2011-04-03 17:31:40 +0000 Sun,0,0,TweetDeck,fr,obamo,en
"#civsocial, #civ2010,PLEASE HELP evacuate patients in Abidjan who've been without dialysis since Wednesday http://on.fb.me/dR8zWn #civ2010",2011-04-03 17:35:46 +0000 Sun,0,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial, S.O.S, #CICR, #OMS,#MSF,Abidjan, HMA, aidons a evacuer les insuffisants renaux sous-dialysés, #civsocial, http://on.fb.me/dR8zWn",2011-04-03 17:43:14 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
Si des personnes viennent piller vos biens: 48 29 50 01 / 04 15 12 18 / 57 54 95 40 /@cartunelo #Civ2010 #CivSocial,2011-04-03 17:44:30 +0000 Sun,3,0,UberSocial Pro for iPhone,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
"#civsocial, S.O.S, #CICR, #OMS,#MSF,Abidjan, HMA, aidons a evacuer les insuffisants renaux sous-dialysés, #civ2010, http://on.fb.me/dR8zWn",2011-04-03 17:51:15 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"#civsocial, #civ2010,PLEASE HELP evacuate patients in Abidjan who've been without dialysis since Wednesday http://on.fb.me/dR8zWn #civ2010.",2011-04-03 17:54:45 +0000 Sun,5,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial, S.O.S, #CICR,#MSF,Abidjan, HMA, aidons a faire evacuer les insuffisants renaux sous-dialysés, #civ2010, http://on.fb.me/dR8zWn",2011-04-03 18:02:19 +0000 Sun,4,0,Twitter Web Client,fr,manasse.dehe,fr
@cartunelo tu travaille pour quel organisation ? #civsocial #CICR #MSF #civ2010,2011-04-03 18:02:53 +0000 Sun,0,0,TweetDeck,fr,teekenb,en
"S.O.S, #civsocial,,PLEASE HELP evacuate patients in Abidjan who've been without dialysis since Wednesday http://on.fb.me/dR8zWn #civ2010.",2011-04-03 18:08:28 +0000 Sun,1,0,Twitter Web Client,en,manasse.dehe,fr
Quelqu'un a t il le numero de la croix rouge nous somme coince dans la zone d'affrontement besoin d etre evacuer#civsocial #CICR #MSF,2011-04-03 18:10:04 +0000 Sun,0,0,Twitter Web Client,fr,WAREN KOWALSKY,fr
"@stefanmeisel ,#civsocial, tiens bon, je peux partager avec toi le peu d unites qui me reste.#civ2010",2011-04-03 18:23:42 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"#civsocial, #civ2010, vous pouvez utiliser ce fil pour realiser au moins des actions sociales, pour vous rendre plus utiles.",2011-04-03 18:26:10 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"@stefanmeisel , de rien, c un plaisir de me rendre utile avec mes Tweets, #civsocial, #civ2010. Que Dieu te garde !",2011-04-03 18:29:33 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"#civsocial, #civ2010, vous pouvez utiliser ce fil pour realiser au moins des actions sociales, pour vous rendre plus utiles. Aidons nous",2011-04-03 18:31:45 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"RT @cartunelo: #civsocial, #civ2010, vous pouvez utiliser ce fil pour realiser au moins des actions sociales, pour vous rendre plus utiles.",2011-04-03 18:32:29 +0000 Sun,0,0,DestroyTwitter,fr,SergeMBRA ZebuGNT,fr
RT @KOVALKY: Quelqu'un a t il le num de la croix rouge ns sommes coince ds la zone d'affrontement besoin d etre evacue #civsocial #CICR #MSF,2011-04-03 18:35:31 +0000 Sun,1,0,UberSocial Pro for iPhone,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
"@KOVALKY , #civsocial, #civ2010, voici les contacts du CICR Abidjan, +22522 40 00 70, +225 09 399 404",2011-04-03 18:38:50 +0000 Sun,1,0,Twitter Web Client,fr,manasse.dehe,fr
Hopital Militaire d'Abidjan: SOS pour les insuffisants rénaux & dialysés http://on.fb.me/gvFqL5 #civ2010 #civSocial,2011-04-03 18:39:00 +0000 Sun,3,0,Twitter for BlackBerry®,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
"#civsocial, #civ2010, vous pouvez utiliser ce fil pour realiser au moins des actions sociales, pour vous rendre plus utiles.Twittons utile",2011-04-03 18:48:47 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"S.O.S, #civsocial,,PLEASE HELP evacuate 36 patients in Abidjan who've been without dialysis since Wednesday http://on.fb.me/dR8zWn #civ2010.",2011-04-03 18:49:23 +0000 Sun,1,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial, S.O.S, #CICR, #OMS,#MSF,Abidjan, HMA, aidons a evacuer 36 insuffisants renaux sous-dialysés, #civ2010, http://on.fb.me/dR8zWn",2011-04-03 18:50:49 +0000 Sun,1,0,Twitter Web Client,fr,manasse.dehe,fr
TRES URGENT: Besoin contact d'un médécin à Angré Star 6. La soeur d'une amie vient de prendre une balle perdue. Urgent! #cicr #civsocial,2011-04-03 18:52:24 +0000 Sun,29,0,TweetDeck,fr,William Tedje Ahouma,en
"#civsocial, besoin d un médecin à la star 6 la soeur dune amie vient de prendr une balle!si oui,ses contacts svp!très urgent!!!#civ2010",2011-04-03 18:53:13 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"RT @cartunelo: #civsocial, S.O.S, #CICR, #OMS,#MSF, aidons a evacuer 36 insuffisants renaux sous-dialysés, #civ2010, http://on.fb.me/dR8zWn",2011-04-03 18:53:26 +0000 Sun,0,0,DestroyTwitter,fr,SergeMBRA ZebuGNT,fr
"RT @cartunelo: #civsocial, besoin d un médecin à la star 6 la soeur dune amie vient de prendr une balle!urgent!!!#civ2010",2011-04-03 18:55:19 +0000 Sun,0,0,DestroyTwitter,fr,SergeMBRA ZebuGNT,fr
Les num du CICR a Abidjan: +225 22 40 00 70 & +225 09 399 404 /@cartunelo #Civ2010 #CivSocial,2011-04-03 18:55:29 +0000 Sun,0,2,UberSocial Pro for iPhone,in,۩ ♔ Ņāđīŗā ♔ ۩,fr
AU SECOURS LA FRANCE PREPARE UN AUTRE GENOCIDE EN COTE D'IVOIRE #civsocial #cicr #civinfo #UN #war #guerre #civ2010 #clifci #cah #france,2011-04-03 19:01:07 +0000 Sun,3,0,TweetDeck,fr,Kossou,fr
"#civsocial, S.O.S, #CICR, #OMS,#MSF, aidons a evacuer 36 insuffisants renaux sous-dialysés a Abidjan, #civ2010, http://on.fb.me/dR8zWn",2011-04-03 19:07:55 +0000 Sun,7,0,Twitter Web Client,fr,manasse.dehe,fr
"#civsocial, #civ2010,PLEASE HELP evacuate patients in #Abidjan who've been without dialysis since Wednesday http://on.fb.me/dR8zWn #civ2010.",2011-04-03 19:09:37 +0000 Sun,1,0,Twitter Web Client,en,manasse.dehe,fr
"#civsocial, besoin d un médecin à la star 6 la soeur dune amie vient de prendr une balle!! si oui,ses contacts svp!très urgent!!!#civ2010",2011-04-03 19:13:52 +0000 Sun,8,0,Twitter Web Client,fr,manasse.dehe,fr
1e personne ayant pris 1e balle a besoin de soin à la Star 6. Contactez @cartunelo - SOS medecin #civ2010 #civsocial,2011-04-03 19:16:52 +0000 Sun,7,0,TweetDeck,fr,Jean-Patrick Ehouman,en
"#civsocial, #civ2010,PLEASE HELP evacuate 36 patients who've been without dialysis since Wednesday http://on.fb.me/dR8zWn #civ2010.",2011-04-03 19:17:20 +0000 Sun,0,0,Twitter Web Client,en,manasse.dehe,fr
RT @jpehouman: 1e personne ayant pris 1e balle a besoin de soin à la Star 6. Contactez @cartunelo - SOS medecin #civ2010 #civsocial,2011-04-03 19:17:28 +0000 Sun,4,0,TweetDeck,fr,obamo,en
"RT @wilfriedn: RT @cartunelo: #civsocial, besoin d un médecin à la star 6 la soeur dune amie vient de prendr une balle!! #civ2010",2011-04-03 19:19:01 +0000 Sun,1,0,DestroyTwitter,fr,SergeMBRA ZebuGNT,fr
"S.O.S,#civsocial, #CICR, #OMS,#MSF, aidons a evacuer 36 insuffisants renaux sous-dialysés a Abidjan, #civ2010, http://on.fb.me/dR8zWn",2011-04-03 19:19:02 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
URGENT: une personne ayant pris une balle a besoin de soin à la Star 6. Contactez @cartunelo - SOS medecin #civ2010 #civsocial /@jpehouman,2011-04-03 19:21:40 +0000 Sun,0,0,UberSocial Pro for iPhone,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
"S.O.S, #CICR, #OMS,#MSF, aidons a evacuer 36 insuffisants renaux sous-dialysés a Abidjan, #civ2010, http://on.fb.me/dR8zWn, #civsocial.",2011-04-03 19:40:49 +0000 Sun,13,0,Twitter Web Client,fr,manasse.dehe,fr
"#civsocial, #civ2010,PLEASE HELP evacuate 36 patients in #Abidjan who've been without dialysis since Wednesday http://on.fb.me/dR8zWn.",2011-04-03 19:41:37 +0000 Sun,1,0,Twitter Web Client,en,manasse.dehe,fr
URGENT: L'hémorragie stoppé. Il faut faire une radio avec anesthésie locale. Besoin de xylocaine. Contactez 40003480/03784354 #civsocial,2011-04-03 19:43:45 +0000 Sun,7,0,TweetDeck,fr,William Tedje Ahouma,en
"une autre jeune fille vient de prendre UNE BALLE a Angre. SVP voici le numéro DE SA MERE : 0022505357879. soutenons la, #civsocial, #civ2010",2011-04-03 19:44:15 +0000 Sun,12,1,Twitter Web Client,fr,manasse.dehe,fr
"Grace a votre aide L'hémorragie de la 1ere fille a stoppé. Besoin maintenant de xylocaine. Contactez 40003480/03784354 #civsocial, #civ2010",2011-04-03 19:45:52 +0000 Sun,9,1,Twitter Web Client,fr,manasse.dehe,fr
#civsocial bonsoir,2011-04-03 19:47:32 +0000 Sun,0,0,TweetDeck,fr,Fabrice,fr
#civsocial comment peut on vous aider de l'extérieur?,2011-04-03 19:48:13 +0000 Sun,0,0,TweetDeck,fr,Fabrice,fr
@cartunelo Vive le #civsocial ou le #civpaix,2011-04-03 19:50:14 +0000 Sun,0,0,Twitter Web Client,en,Israël Yoroba,fr
URGENT: L'hémorragie stoppé. Il faut faire une radio avec anesthésie locale. Besoin de xylocaine. Contactez 40003480/03784354 #civsocial,2011-04-03 19:53:33 +0000 Sun,1,0,Twitter Web Client,fr,Actualité Nationale,fr
"RT @sixtem63: RT @cartunelo: L'hémorragie de la 1ere fille a stoppé. Besoin de xylocaine. Contact 40003480/03784354 #civsocial, #civ2010",2011-04-03 19:56:19 +0000 Sun,1,1,DestroyTwitter,fr,SergeMBRA ZebuGNT,fr
URGENT: Besoin de xylocaine en #civ2010 Contactez 40003480/03784354 #civsocial /@AhoumaWilliam @cartuleno,2011-04-03 20:06:33 +0000 Sun,3,1,UberSocial Pro for iPhone,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
Sit. compliquée pour la blessée. Elle fait une crise. Besoin URGENT d'une escorte jusqu'au CHU de Cocody. Elle est en brouette #civsocial,2011-04-03 20:12:44 +0000 Sun,9,2,TweetDeck,fr,William Tedje Ahouma,en
#civsocial le hashtag pour urgences médicales et aide Cote Ivoire,2011-04-03 20:13:47 +0000 Sun,3,0,Twitter Web Client,fr,Claire Ulrich,fr
Côte d\'Ivoire: 46 blessés par balles en 6 jours à l\'hôpital de Man http://www.qurl.ch/il1rjl #civsocial #civpaix,2011-04-03 20:14:43 +0000 Sun,0,0,Twitter Web Client,fr,Israël Yoroba,fr
"#civsocial, #civ210, Qui sait comment on peut arreter le sang ?? Notre jeune amie fait une crise. L escorte met du temps a arriver",2011-04-03 20:16:06 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
La fille fait une crise. Elle se trouve au Terminus d'Angré. Besoin d'une escorte jusqu'au CHU de Cocody. Contactez 40 00 34 80 #civsocial,2011-04-03 20:16:50 +0000 Sun,9,0,TweetDeck,fr,William Tedje Ahouma,en
"#civsocial, #civ210, Qui sait comment on peut arreter le sang ?? Notre jeune amie fait une crise. L escorte met du temps a arriver",2011-04-03 20:16:56 +0000 Sun,4,1,Twitter Web Client,fr,Edith Brou,fr
"RT @cartunelo: URGENT @Sanders225 @ADO__Solutions Besoin maintenant de xylocaine. Contactez 40003480/03784354 #civsocial, #civ2010 #civ2011",2011-04-03 20:17:46 +0000 Sun,0,0,TweetDeck,fr,Bouba Diakite,en
@edithbrou Poser un garrot je crois http://www.distrimed.com/conseils/page_hemorragies.htm #civsocial,2011-04-03 20:19:04 +0000 Sun,1,0,Twitter Web Client,fr,Israël Yoroba,fr
"Elle a perdu bcp de sang au Terminus d'AngréL escorte met du temps a arriver. Qui peut aider avec une voiture ? #civsocial, #civ2010",2011-04-03 20:19:47 +0000 Sun,2,0,Twitter Web Client,fr,manasse.dehe,fr
Cote Ivoire #civsocial RT @edithbrou Qui sait comment on peut arrêter le sang?L escorte met du temps a arriver (blessure par balle),2011-04-03 20:20:34 +0000 Sun,0,0,Twitter Web Client,fr,Claire Ulrich,fr
"#civsocial, #civ2010, qui connait un FDS ki peut venir la chercher ? les medecins contactes mettent du temps.",2011-04-03 20:24:52 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"#civ2010, #civsocial, Si vous etes a Angre et que vous avez une voiture, il suffit de mettre un drapeau blanc et on vous laissera passer....",2011-04-03 20:25:56 +0000 Sun,6,0,Twitter Web Client,fr,manasse.dehe,fr
"RT @cartunelo: #civ2010, #civsocial, Si vous etes a Angre et que vous avez une voiture, il suffit de mettr… (cont) http://deck.ly/~RPJ82",2011-04-03 20:26:18 +0000 Sun,0,0,TweetDeck,fr,obamo,en
"la fille a reçu la balle dans le dos, le médecin a fait les premiers soisn mais n'a pas pu extraire la balle dans son dos.#civsocial",2011-04-03 20:35:54 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"Ivoiriens au lieu de vous insulter sur le fil #Civ2010, rendez vous utile sur le fil #CivSocial",2011-04-03 20:37:27 +0000 Sun,5,2,UberSocial Pro for iPhone,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
"SVP, je n ai plus de reseau GSM.Appelez Dr keita :02 06 66 77 il semble etre disponible, #civsocial, #civ2010",2011-04-03 20:37:28 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
Via @baoulet Medecins urgences:07 08 26 26 Assistance medicale d'urgence :07 08 07 08 ou 05 96 05 20 #civsocial,2011-04-03 20:38:13 +0000 Sun,1,0,Twitter Web Client,en,JoelleET,en
Tout est prêt pour les accueillir à la pharmacie Ste Henriette de 8e trche. Besoin d'une voiture pour les y conduire 40 00 34 80 #civsocial,2011-04-03 20:38:26 +0000 Sun,3,0,TweetDeck,fr,William Tedje Ahouma,en
"La tension de la fille baisse. Fautes de cliniques et formation sanitaire ouvertes, ils sont en train de retourner à Angré, #civsocial",2011-04-03 20:39:03 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
Tout est prêt pour les accueillir à la pharmacie Ste Henriette de 8e trche. Besoin d'une voiture pour les y conduire 40 00 34 80 #civsocial,2011-04-03 20:39:31 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
RT @Camso2010: Via @baoulet #civ2010 numéros de médecins Recommandation 1er soins :22 44 46 31- Isaac Médecin à star 6:07384020 #civsocial,2011-04-03 20:40:12 +0000 Sun,0,0,DestroyTwitter,fr,SergeMBRA ZebuGNT,fr
SOS Medecins: 22 44 53 53 Recommandation 1er soins blessés: 22 44 46 31 Isaac Medecin à star6: 07384020 /@Yoroba #CivSocial,2011-04-03 20:40:23 +0000 Sun,0,1,UberSocial Pro for iPhone,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
"RT @Naddah Ivoiriens au lieu de vous insulter sur le fil #Civ2010, rendez vous utile sur le fil #CivSocial",2011-04-03 20:40:42 +0000 Sun,4,0,Twitter Web Client,fr,julieowono,en
Pour la 6e tranche DR RADJI: 01019097 Medecins urgences:07 08 26 26 Ass. medicale d'urgence :07 08 07 08 ou 05 96 05 20 /@Yoroba #CivSocial,2011-04-03 20:41:35 +0000 Sun,3,0,UberSocial Pro for iPhone,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
“@ClaireInParis: #civsocial le hashtag pour urgences médicales et aide Cote Ivoire”,2011-04-03 20:41:50 +0000 Sun,0,0,Twitter for iPhone,fr,AFRICA_SAHEL,fr
Besoin d'une voiture pour se rendre a la phcie 8em trche Angré avec une fille blessé par balle 01005522/40003480 #civsocial,2011-04-03 20:45:50 +0000 Sun,2,0,Twitter Web Client,fr,Edith Brou,fr
Tout est prêt pour les accueillir à la pharmacie Ste Henriette de 8e trche. Besoin d'une voiture pour les y conduire 40 00 34 80 #civsocial,2011-04-03 20:46:08 +0000 Sun,4,0,Twitter Web Client,fr,Edith Brou,fr
"La tension de la fille baisse, c'est une question d'heure. Besoin d'une voiture pour les conduire 40 00 34 80 à un centre #civsocial",2011-04-03 20:47:20 +0000 Sun,2,0,Twitter Web Client,fr,Edith Brou,fr
"#civ2010, #civsocial, Vous etes formidables, un vehicule est venu recup la petite fille, elle part vers la clinik",2011-04-03 20:50:43 +0000 Sun,8,0,Twitter Web Client,fr,manasse.dehe,fr
RT @AFRICA_SAHEL: “@ClaireInParis: #civsocial le hashtag pour urgences médicales et aide Cote Ivoire” #IvoryCoast,2011-04-03 20:51:49 +0000 Sun,0,0,TweetDeck,fr,Eva Kinell-Dewd,en
"#civsocial, Dans la voiture, la petite a ouvert les yeux, elle a mal, ils arrivent bientot a la clinik la plus proche, prions maintenant,",2011-04-03 20:51:50 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"#civ2010, #civsocial, Vous etes formidables, un vehicule est venu recup la petite fille, elle part vers la clinik",2011-04-03 20:53:28 +0000 Sun,0,0,Twitter Web Client,fr,Edith Brou,fr
"Il ne reste plus qu a prier. Un d entre vous est venu avec sa voiture, la petite est conduite vers la clinik la plus proche. #civsocial,",2011-04-03 20:54:15 +0000 Sun,0,0,Twitter Web Client,fr,manasse.dehe,fr
"RT @Naddah Ivoiriens au lieu de vous insulter sur le fil #Civ2010, rendez vous utile sur le fil #CivSocial",2011-04-03 20:54:39 +0000 Sun,1,0,Twitter Web Client,fr,Anna Guèye,fr
#CivSocial Merci bcp pr cette initiative!,2011-04-03 20:54:50 +0000 Sun,0,0,Twitter Web Client,fr,Maman Gaelle,en
Gloire à Dieu on a pu avoir une voiture. La blessée est avec sa mère en route pour la clinique. Merci et tous en union de prière #civsocial,2011-04-03 20:54:59 +0000 Sun,4,0,TweetDeck,fr,William Tedje Ahouma,en
"RT @cartunelo: #civ2010, #civsocial, Vous etes formidables, un vehicule est venu recup la petite fille, elle part vers la clinik",2011-04-03 20:55:55 +0000 Sun,1,0,UberSocial Pro for iPhone,fr,۩ ♔ Ņāđīŗā ♔ ۩,fr
"#civsocial, La petite souffre de Douleur, mais elle est consciente. .....Votre action a ete efficace. Prions pr elle",2011-04-03 20:56:24 +0000 Sun,1,0,Twitter Web Client,fr,manasse.dehe,fr
"RT @Hafane225: RT @Naddah: RT @cartunelo: #civ2010, #civsocial, un vehicule est venu recup la petite, elle part vers la clinik: YESSS !",2011-04-03 20:58:23 +0000 Sun,0,0,DestroyTwitter,fr,SergeMBRA ZebuGNT,fr
Gestes de premiers secours en cas de blessure par balles.#civ2010 #civsocial1. Appelez un des numéros (cont) http://tl.gd/9l6jsq,2011-04-03 21:00:46 +0000 Sun,2,0,TwitLonger Beta,fr,JoelleET,en
Vous etes tout simplement formidables Vive le Web ivoirien.#civsocial. Grace a vous 1 vie sera sauvee ce soir J presque les larmes aux yeux.,2011-04-03 21:01:04 +0000 Sun,0,0,Twitter Web Client,fr,marlene aymone,en
"#civsocial, La petite souffre de Douleur, mais elle est consciente. .....Votre action a ete efficace. Prions pr elle",2011-04-03 21:01:18 +0000 Sun,2,0,Twitter Web Client,fr,Edith Brou,fr
"RT @edithbrou: RT @Naddah: Ivoiriens au lieu de vous insulter sur le fil #Civ2010, rendez vous utile sur le fil #CivSocial",2011-04-03 21:02:21 +0000 Sun,2,0,DestroyTwitter,fr,SergeMBRA ZebuGNT,fr
"@edithbrou Clair vraiment admirativ é fière,ls #ivoiriens st formidabl d toutes façons.Place à la prière pr elle & ts les autres #civsocial",2011-04-03 21:06:00 +0000 Sun,0,0,Twitter Web Client,fr,Ivoire,fr
"Bravo @cartunelo for #civsocial in this mad #civ2010 days in #Abidjan #IvoryCoast for making a virtuel ""social network"" usefull in #war",2011-04-03 21:07:39 +0000 Sun,2,0,Twitter Web Client,en,Stefan Meisel,de
